Habitat,point_number,Team,Quadrant,Location,Location_type,Location_angle,Tree_type,Distance,DBH,Drought_stress,Species,N_dead
R,25,C,d,"Tag 136, 30.1 m",Transect,11,Sapling,5.514705882352941,,FALSE,Juniperus ashei (Ashe’s Juniper),
R,26,C,a,"Tag 138, 36.8 m",Transect,2,Canopy,4.044117647058823,5,FALSE,Quercus fusiformis (Live oak),
R,26,C,b,"Tag 138, 36.8 m",Transect,2,Canopy,7.352941176470588,12,FALSE,Juniperus ashei (Ashe’s Juniper),
R,26,C,c,"Tag 138, 36.8 m",Transect,2,Canopy,2.205882352941176,16,FALSE,Juniperus ashei (Ashe’s Juniper),
R,26,C,d,"Tag 138, 36.8 m",Transect,2,Canopy,0.7352941176470588,22,FALSE,Juniperus ashei (Ashe’s Juniper),
R,26,C,a,"Tag 138, 36.8 m",Transect,2,Sapling,4.411764705882352,,FALSE,Juniperus ashei (Ashe’s Juniper),
R,26,C,b,"Tag 138, 36.8 m",Transect,2,Sapling,14.705882352941176,,FALSE,Juniperus ashei (Ashe’s Juniper),
R,26,C,c,"Tag 138, 36.8 m",Transect,2,Sapling,13.235294117647058,,FALSE,Juniperus ashei (Ashe’s Juniper),
R,26,C,d,"Tag 138, 36.8 m",Transect,2,Sapling,11.029411764705882,,FALSE,Broussenetia papyrifera (Paper mulberry),
R,33,D,a,"Tag 52, 11.3 m",Transect,11,Canopy,1.3333333333333333,11,TRUE,Celtis spp. (Hackberry),0
R,33,D,b,"Tag 52, 11.3 m",Transect,11,Canopy,2.6666666666666665,20,TRUE,Celtis spp. (Hackberry),1
R,33,D,c,"Tag 52, 11.3 m",Transect,11,Canopy,5.333333333333333,8,TRUE,Celtis spp. (Hackberry),0
R,33,D,d,"Tag 52, 11.3 m",Transect,11,Canopy,2,13,TRUE,Celtis spp. (Hackberry),0
R,34,D,a,"Tag 52, 12 m",Transect,8,Canopy,2.6666666666666665,24,TRUE,Celtis spp. (Hackberry),0
R,34,D,b,"Tag 52, 12 m",Transect,8,Canopy,0.6666666666666666,12,TRUE,Celtis spp. (Hackberry),0
R,34,D,c,"Tag 52, 12 m",Transect,8,Canopy,3.3333333333333335,16,TRUE,Celtis spp. (Hackberry),0
R,34,D,d,"Tag 52, 12 m",Transect,8,Canopy,8,10,TRUE,Celtis spp. (Hackberry),1
R,35,D,a,"Tag 52, 16 m",Transect,1,Canopy,4.666666666666667,7,TRUE,Celtis spp. (Hackberry),0
R,35,D,b,"Tag 52, 16 m",Transect,1,Canopy,4,17,TRUE,Celtis spp. (Hackberry),1
R,35,D,c,"Tag 52, 16 m",Transect,1,Canopy,5.333333333333333,16,TRUE,Celtis spp. (Hackberry),0
R,35,D,d,"Tag 52, 16 m",Transect,1,Canopy,2,10,TRUE,Celtis spp. (Hackberry),0
R,42,E,a,"Tag 158, 6.9 m",Transect,11,Canopy,8,7,FALSE,Celtis spp. (Hackberry),0
R,42,E,b,"Tag 158, 6.9 m",Transect,11,Canopy,2,9,FALSE,Celtis spp. (Hackberry),0
R,42,E,c,"Tag 158, 6.9 m",Transect,11,Canopy,2,29,FALSE,Celtis spp. (Hackberry),0
R,42,E,d,"Tag 158, 6.9 m",Transect,11,Canopy,2,17,FALSE,Prunus caroliniana (Laurel cherry),0
R,42,E,d,"Tag 158, 6.9 m",Transect,11,Sapling,4,,FALSE,Prunus caroliniana (Laurel cherry),0
